stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002124.SZ,,,42808,,42328,,,,,,,
002125.SZ,,,,42388,42026,,,,40702,,,
002126.SZ,,,42920,,42117,,,,40857,,,
002127.SZ,,,43047,42387,,,,,,40387,,
002128.SZ,43693,,,,,41983,,,,,,
002129.SZ,,43327,,,42355,41897,,41271,,,,39598
002130.SZ,,,,42671,,,,,,,,
002131.SZ,,,,42621,42349,42003,,40926,,,,
002132.SZ,,,,42655,,,,,,40354,,
002133.SZ,,,,,,41949,,,,,,
002134.SZ,,,,,,,,,,,,
002135.SZ,,,43033,42382,,,,,40898,,,
002136.SZ,,,,,,,,,40609,,,
002137.SZ,,,,42388,42368,,41505,,,,,
002138.SZ,,,42965,,,41802,,,40624,,,
002139.SZ,,,,42472,42066,,,,,,,
002140.SZ,,,,,,,,,,,,
002141.SZ,,,,42485,,,,,,,,
002142.SZ,,,,,,41912,,,,40473,,
002144.SZ,,,,,,,41352,,,40380,,
002145.SZ,,,,,42276,41950,41333,,,,,
002146.SZ,,,,,42368,,,,,,40060,
002147.SZ,,,,42565,,,,,,40484,,
002148.SZ,,,,,,41655,,,,,,
002149.SZ,,,,42592,,,,,,,39951,
002150.SZ,,,,42689,,,,,,,,
002151.SZ,,,,42551,42214,,,,,40478,,
002152.SZ,,,,42439,,,,,,,,
002153.SZ,,,,,42355,,,,,,,
002154.SZ,,,,,,,,41233,,,40137,
002155.SZ,,,,42657,42102,,,,,,,
002156.SZ,,43122,,,42122,,,,,40494,,
002157.SZ,43655,,42744,,42369,41848,,,,40267,,
002158.SZ,,,,,42163,,,,,,,
002159.SZ,,,,,,41946,,,,,,
002160.SZ,43731,43462,,42481,42172,41998,,,,,,
002161.SZ,,,,,,,,,40716,,,
002162.SZ,,,,,,41687,,,,,,
002163.SZ,,,,,,,,,,40288,,
002164.SZ,,,42998,,,,,,,40410,,
002165.SZ,,,,42542,,,,,40749,,,
002166.SZ,,,,,42123,,,,,,,
002167.SZ,,,,,,,,,40724,,39958,
002168.SZ,,,,,,,,,40549,,,
002169.SZ,,,,42654,42328,,,,,40486,,
002170.SZ,,,,42670,42206,,,41108,,,,
002171.SZ,43635,,42754,,42360,41828,,,,,,
